code,font,sample,char
100,0,0,d
100,0,1,d
100,0,11,d
100,0,12,d
100,0,13,d
100,0,14,d
100,0,15,d
100,0,16,d
100,0,18,d
100,0,2,d
100,0,20,d
100,0,21,d
100,0,22,d
100,0,23,d
100,0,25,d
100,0,26,d
100,0,28,d
100,0,29,d
100,0,3,d
100,0,4,d
100,0,6,d
100,0,8,d
100,1,1,d
100,1,11,d
100,1,12,d
100,1,14,d
100,1,15,d
100,1,16,d
100,1,17,d
100,1,19,d
100,1,2,d
100,1,20,d
100,1,21,d
100,1,23,d
100,1,24,d
100,1,25,d
100,1,26,d
100,1,27,d
100,1,28,d
100,1,29,d
100,1,3,d
100,1,4,d
100,1,5,d
100,1,7,d
100,1,8,d
100,1,9,d
100,2,0,d
100,2,1,d
100,2,10,d
100,2,11,d
100,2,12,d
100,2,13,d
100,2,14,d
100,2,16,d
100,2,17,d
100,2,18,d
100,2,2,d
100,2,21,d
100,2,22,d
100,2,23,d
100,2,24,d
100,2,25,d
100,2,26,d
100,2,28,d
100,2,29,d
100,2,3,d
100,2,4,d
100,2,5,d
100,2,6,d
100,2,7,d
100,2,8,d
100,2,9,d
100,3,0,d
100,3,1,d
100,3,10,d
100,3,11,d
100,3,12,d
100,3,13,d
100,3,14,d
100,3,15,d
100,3,16,d
100,3,19,d
100,3,20,d
100,3,21,d
100,3,22,d
100,3,23,d
100,3,24,d
100,3,25,d
100,3,28,d
100,3,29,d
100,3,4,d
100,3,5,d
100,3,6,d
100,3,7,d
100,3,8,d
100,3,9,d
100,4,0,d
100,4,10,d
100,4,11,d
100,4,12,d
100,4,13,d
100,4,14,d
100,4,15,d
100,4,16,d
100,4,17,d
100,4,18,d
100,4,19,d
100,4,2,d
100,4,20,d
100,4,21,d
100,4,22,d
100,4,23,d
100,4,24,d
100,4,25,d
100,4,26,d
100,4,27,d
100,4,28,d
100,4,29,d
100,4,3,d
100,4,4,d
100,4,6,d
100,4,7,d
100,4,9,d
100,5,0,d
100,5,1,d
100,5,10,d
100,5,11,d
100,5,12,d
100,5,13,d
100,5,15,d
100,5,17,d
100,5,18,d
